dev_row,dev_id,bias_norm,aligned_pred,alignment_strength,alignment_score,dev_cue_span,probe_pair_id,probe_cue_span,notes
64,5278,framing effect,0,none,0.0,,,,No analogous cue span found in the provided text.
65,5387,framing effect,1,weak,0.4,exciting,augmented_dilemmas_dataset_gpt-4.1-mini:5,clunky,Weak alignment via evaluative adjectives with opposite valence.
66,20496,framing effect,1,weak,0.4,important to show off complexity and many lines of code,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:3,could delay our exciting new features,"Both use evaluative framing, but cues differ in focus."
67,3185,framing effect,1,weak,0.4,most essential organs,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:7,problem for the future,Both use evaluative framing but with different emphasis.
68,5392,framing effect,1,weak,0.4,Add more exciting css,augmented_dilemmas_dataset_gpt-4.1-mini:5,Take a week to add clunky,Weak alignment via opposing evaluative adjectives.
69,5425,framing effect,0,none,0.0,,augmented_dilemmas_dataset_gpt-4.1-mini:5,Take a week to add clunky,Weak alignment via 'add' and evaluative framing ('exciting' vs 'clunky')
70,35372,framing effect,1,weak,0.4,it's unlikely I'll see any of these new ones you wish me to add,augmented_dilemmas_dataset_gpt-4.1-mini:4,"deferring JavaScript, which sounds complicated and fiddly",Weak alignment via negative framing and reluctance to act.
71,35151,hindsight bias,1,weak,0.4,it is proved that the edge detection prior to the template matching was not a good idea,augmented_dilemmas_dataset_gpt-4.1-mini:5,"Still, some unaccounted-for edge cases triggered failures in production that were not caught by the existing tests",Weak alignment: both mention hindsight issues with uncaught edge cases.
72,3998,hindsight bias,0,none,0.0,,augmented_dilemmas_dataset_gpt-4.1-mini:6,failed repeatedly and caused data inconsistencies,Weak alignment due to self-correction vs outcome-known narrative.
73,27078,hindsight bias,0,none,0.0,,,,No analogous cue span found in the provided candidate probe.
74,27473,hindsight bias,0,none,0.0,,augmented_dilemmas_dataset_gpt-4o-mini:4,"However, shortly after the release, many users expressed frustration with unexpected bugs that impacted their experience",Weak alignment: both mention post-deployment issues but differ in framing.
75,28994,hindsight bias,0,none,0.0,,augmented_dilemmas_dataset_gpt-4o-mini:3,"Unfortunately, just a few days later, a serious vulnerability was discovered that compromised user accounts.",No analogous cue span in DevGPT for hindsight bias alignment.
76,5013,hyperbolic discounting,1,weak,0.4,in a pinch,augmented_dilemmas_dataset_gpt-4.1-mini:6,less work upfront,Both show present-focused reasoning but with different phrasing.
77,19544,hyperbolic discounting,0,none,0.0,,,,No analogous cue span found in the probe.
78,20446,hyperbolic discounting,0,none,0.0,,,,No analogous cue span found in DevGPT text.
79,30204,hyperbolic discounting,0,none,0.0,,augmented_dilemmas_dataset_gpt-4.1-mini:7,just hope for the best,Weak alignment on present-focused deferral markers.
80,32290,hyperbolic discounting,0,none,0.0,,,,No analogous cue span found in DevGPT or PROBE.
81,18359,hyperbolic discounting,1,weak,0.4,for 5 minutes,augmented_dilemmas_dataset_gpt-4.1-mini:7,just a few minutes,Weak alignment on time deferral cues.
82,3523,hyperbolic discounting,1,weak,0.6,for now,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:5,for now,"Both use 'for now' to defer action, showing present bias."
83,22145,hyperbolic discounting,0,none,0.0,,,,No analogous cue span found in DevGPT text.
84,26467,hyperbolic discounting,0,none,0.0,,,,No analogous cue span found in candidates.
85,9631,overconfidence bias,1,strong,0.9,"im almost sure i need to add a library, right?",augmented_dilemmas_dataset_gpt-4o-mini:7,"gut feeling, and I’m sure I can get it right without the hassle",Strong alignment on overconfidence markers 'sure' and 'almost sure'.
86,10532,overconfidence bias,1,weak,0.4,I want to fix it such that this is used as a rng generator.,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:4,confident the code is clear enough,Weak alignment on overconfidence in code clarity and implementation.
87,15728,overconfidence bias,1,weak,0.6,Encryption is not a concern because,augmented_dilemmas_dataset_gpt-4.1-mini:5,I’m sure that skipping this update will not cause any issues,Weak alignment on overconfidence in certainty about no issues
88,15777,overconfidence bias,1,weak,0.6,how hard can it be to interpret the files?,augmented_dilemmas_dataset_gpt-4.1-mini:4,I’m pretty sure I already know the cause and can fix it quickly,Weak alignment on overconfidence in problem-solving ease.
89,15875,overconfidence bias,1,weak,0.4,the receiver obviously knows the items it has,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:7,I’m confident in the implementation,Weak alignment on confidence markers.
90,18411,overconfidence bias,1,weak,0.6,I have confidence that it's going to allow me to do whatever I want in the future.,augmented_dilemmas_dataset_gpt-4o-mini:7,"feel confident that everything is working, so I think it's safe to proceed",Confidence in future utility aligns with overconfidence bias.
91,19277,overconfidence bias,0,none,0.0,,,,No overconfidence cues found in the provided text.
92,23404,overconfidence bias,0,none,0.0,,,,No overconfidence markers present in DevGPT text.
93,35007,overconfidence bias,1,strong,0.9,Im pretty sure,augmented_dilemmas_dataset_gpt-4o-mini:6,feel pretty confident,Strong alignment with overconfidence markers 'pretty sure' and 'pretty confident'.
94,35009,overconfidence bias,0,none,0.0,,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:8,I feel confident that there won't be any unforeseen issues,Weak alignment on 'confident' as overconfidence cue.
95,35724,overconfidence bias,1,weak,0.4,You should be able to nail this down perfect,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:6,"the current version should suffice for now, as the code is clean and self-explanatory",Weak alignment on overconfidence in code sufficiency
96,2171,overconfidence bias,0,none,0.0,,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:3,I’m confident,"Both show overconfidence, but phrasing differs slightly."
0,33855,anchoring bias,1,weak,0.4,"make use of all the parameters returned by createAndPopulateInstancesTable, keeping them as in the initial code",augmented_dilemmas_dataset_gpt-4.1-mini:4,"Some colleagues told me that more data is always better to diagnose issues, so they insisted on keeping all fields intact.","Both mention keeping all data/parameters intact, but phrasing differs."
1,3793,anchoring bias,1,weak,0.4,Go back to the first solution,augmented_dilemmas_dataset_gpt-4.1-mini:3,"From what I’ve heard in past projects of a similar size, teams often just commit directly to the main branch","Both reference prior practices, but the surface form differs."
2,8541,anchoring bias,1,weak,0.4,version 4.14,augmented_dilemmas_dataset_gpt-4o-mini:7,previous version,Reference to prior baseline / previous version.
3,9146,anchoring bias,1,weak,0.4,ok from now on i want to keep the 2nd code shippet as my base,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:12,I’ve heard from a team member that formal code reviews can slow down the development process and that informal reviews are sufficient for ma…,"Both refer to prior practices or baselines, but the surface alignment is weak."
4,18459,anchoring bias,0,none,0.0,,,,No candidate shows analogous cue span to DevGPT.
5,23952,anchoring bias,1,weak,0.4,The previous version was fine,augmented_dilemmas_dataset_gpt-4o-mini:4,"I remember that in a previous project, the team didn’t use a ...",Weak alignment due to reference to prior baseline / previous version.
6,35474,availability bias,0,none,0.0,,,,No matching cue span found in the probe.
7,11707,availability bias,0,none,0.0,,,,No analogous cue span found in the provided probe candidates.
8,26208,availability bias,0,none,0.0,,,,No analogous cue span found in the probe candidates.
9,27461,availability bias,1,weak,0.4,I see them in an example in the docs.,augmented_dilemmas_dataset_gpt-4o-mini:5,"I remember reading somewhere that building a custom solution might give us more control, even if the",Weak alignment due to vague source recall in both.
10,33587,availability bias,0,none,0.0,,,,No matching cue span found between DevGPT and PROBE.
11,1325,bandwagon effect,1,weak,0.6,is it still the preferred way to delete?,augmented_dilemmas_dataset_gpt-4.1-mini:3,Many companies in our sector still prefer detailed logs since they believe it’s the fastest way to debug issues.,"Both mention preference as a cue, but phrasing differs."
12,10641,bandwagon effect,1,weak,0.4,the elite developers add images to their projects in android,augmented_dilemmas_dataset_gpt-4o-mini:4,"countless developers are choosing the newer, trendy stack like Option B for their projects, which seems to be the way to go",Implies following what elite or popular developers do.
13,27454,bandwagon effect,1,weak,0.6,it looks like linregress is popular,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:3,many other teams in our organization have chosen the simpler API because it’s easier to implement quickly,"Both mention popularity/consensus, but phrasing differs."
14,4038,bandwagon effect,0,none,0.0,,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:7,many teams prioritize bugs based on the number of users affected,No analogous popularity/consensus cue in DevGPT text.
15,7427,bandwagon effect,0,none,0.0,,augmented_dilemmas_dataset_gpt-4.1-mini:5,Most junior developers I’ve seen usually add code directly to controllers,Weak alignment on popularity/consensus cue.
16,1403,confirmation bias,0,none,0.0,,,,No confirmation-seeking cue in DevGPT text.
17,3107,confirmation bias,0,none,0.0,,,,No confirmation-seeking cue in DevGPT or probe.
18,7348,confirmation bias,0,none,0.0,,,,No analogous confirmation-seeking cue found in the candidate.
19,10565,confirmation bias,0,none,0.0,,,,No confirmation-seeking cue detected in DevGPT text.
20,16010,confirmation bias,1,weak,0.4,Ok?,augmented_dilemmas_dataset_gpt-4.1-mini:5,often works we…,Weak alignment via confirmation-seeking cues.
21,21864,confirmation bias,0,none,0.0,,,,No analogous confirmation-seeking cue found in the candidate.
22,22731,confirmation bias,1,weak,0.4,correct me if i'm wrong,augmented_dilemmas_dataset_gpt-4o-mini:6,Am I right?,Both use confirmation-seeking language but with different phrasing.
23,24383,confirmation bias,1,strong,0.9,Am I right?,augmented_dilemmas_dataset_gpt-4o-mini:6,so that's what I wou…,Both use confirmation-seeking language with rhetorical questions.
24,30268,confirmation bias,1,weak,0.4,What do you think? Or is this not a good way? Is it easy to write it for that?,augmented_dilemmas_dataset_gpt-4o-mini:7,I think requiring always-on internet (Option B) can keep the app simpler and might help avoid problems with data synchronization that can co,"Both show tentative, confirmation-seeking language."
25,32856,confirmation bias,1,weak,0.4,Do you agree? Explain your reasoning.,augmented_dilemmas_dataset_gpt-4o-mini:6,so that's what I wou…,"Both show confirmation-seeking, but surface form differs."
26,35383,confirmation bias,1,weak,0.4,I think pg does use ~/.pgpass because it works when I run it locally.,augmented_dilemmas_dataset_gpt-4o-mini:5,I think it’s essential to stick to the original plan.,Both show a tendency to affirm existing beliefs.
27,35496,confirmation bias,1,weak,0.4,I guess it's better than no parallelization regardless of how big the array is right?,augmented_dilemmas_dataset_gpt-4.1-mini:5,I tend to prefer them for password storage.,DevGPT uses a tentative statement; PROBE uses preference language.
28,2311,confirmation bias,1,weak,0.4,unless I'm missing something,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:7,I’ve always been able to find the issue faster by manually reviewing logs,Weak alignment through confidence in current approach
29,7465,confirmation bias,1,weak,0.4,right,augmented_dilemmas_dataset_gpt-4o-mini:4,right?,Both use 'right'/'right?' as confirmation-seeking cues.
30,8487,confirmation bias,0,none,0.0,,,,No confirmation-seeking cue in DevGPT text.
31,9254,confirmation bias,1,weak,0.6,right?,augmented_dilemmas_dataset_gpt-4o-mini:5,so much easier to… right?,Both use 'right?' as confirmation-seeking cues.
32,11712,confirmation bias,1,weak,0.4,"So the API endpoint would be the most flexible solution? I need CSR first, and second, isn't session ending when you close the page?",augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:7,"In my experience, flexible APIs (Option B) have been easier for clients to adapt to, leading to happier users.","Both show a subtle confirmation-seeking tone, though surface forms differ."
33,11830,confirmation bias,1,weak,0.4,right?,augmented_dilemmas_dataset_gpt-4o-mini:3,which keeps everything in one place on the server.,"Both show preference-seeking, but surface cues differ."
34,15252,confirmation bias,1,weak,0.4,Vad tror du? Låter det bra är det bara att köra på,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:4,"often saves time, especially when the API seems straightforward to use based on our i",Weak alignment in confirmation-seeking tone.
35,16292,confirmation bias,1,weak,0.4,is it right?,augmented_dilemmas_dataset_gpt-4o-mini:7,"streamlines the process and keeps things manageable, right?",Both use a tag-question structure to seek confirmation.
36,17802,confirmation bias,1,weak,0.4,you mentioned right?,augmented_dilemmas_dataset_gpt-4o-mini:4,compared to fiddling around with pro…,Weak alignment via implied confirmation-seeking.
37,20191,confirmation bias,0,none,0.0,,,,No confirmation-seeking cue found in DevGPT text.
38,24323,confirmation bias,1,weak,0.6,isn't?,augmented_dilemmas_dataset_gpt-4.1-mini:5,has worked fine for me in the past and feels more straightforward,"Both show confirmation-seeking, but surface forms differ."
39,25225,confirmation bias,1,weak,0.4,should be ok because it works in the command line,augmented_dilemmas_dataset_gpt-4.1-mini:7,have always found centralized version control systems simpler and easier,"Both show a form of confirmation-seeking, but phrasing differs."
40,27515,confirmation bias,1,weak,0.4,je crois que,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:6,"To be honest, I’ve had negative experiences with microservices in the past.",Weak alignment due to differing confirmation-seeking forms.
41,31251,confirmation bias,1,weak,0.4,right?,augmented_dilemmas_dataset_gpt-4o-mini:6,so that's what I wou…,Weak alignment via tag-question-like cue.
42,32858,confirmation bias,0,none,0.0,,,,No confirmation-seeking cue in DevGPT text.
43,18183,confirmation bias,1,weak,0.4,but wont setup-python do that?,augmented_dilemmas_dataset_gpt-4o-mini:3,They rarely run into secu…,"Both show a seeking confirmation tone, but phrasing differs."
44,31249,confirmation bias,1,weak,0.4,Do I understand this correctly?,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:3,and that has generally worked fine.,"Both show confirmation-seeking, but phrasing differs."
45,32192,confirmation bias,1,weak,0.4,Done should the values be different than they are?,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:9,ensures user satisfaction and avoids the need for multiple iterations,Both show a subtle confirmation-seeking tone.
46,474,framing effect,0,none,0.0,,,,No evaluative adjective or analogous framing cue in DevGPT text.
47,1512,framing effect,0,none,0.0,,,,No evaluative framing cue in DevGPT text.
48,2313,framing effect,1,weak,0.4,I don't want to take that gamble for what I'm building,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:5,No point in delaying progress for something that might not even matter,"Both involve framing risk and future action, but phrasing differs."
49,4029,framing effect,0,none,0.0,,,,No analogous cue span found in the provided candidates.
50,8488,framing effect,0,none,0.0,,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:5,less exciting,Weak alignment via evaluative adjective 'exciting' in both.
51,11638,framing effect,0,none,0.0,,augmented_dilemmas_dataset_gpt-4o-mini:7,"secure, but it might slow down all that exciting new feature development",Weak alignment via evaluative adjective 'exciting' in both.
52,18455,framing effect,1,weak,0.4,I think a tailwind class should be enough,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:7,Should we meet the,Weak alignment on decision framing cue.
53,19490,framing effect,0,none,0.0,,,,No analogous cue span found in the probe.
54,19560,framing effect,0,none,0.0,,augmented_dilemmas_dataset_gpt-4.1-mini:5,but isn’t it more exciting to release now and worry later?,Weak alignment via framing of action consequences.
55,23598,framing effect,0,none,0.0,,,,No analogous cue span found in DevGPT text.
56,24417,framing effect,1,weak,0.4,observer is overkill,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:5,feels like overkill when we’re already short on time,Both use 'overkill' but differ in context and framing.
57,25733,framing effect,0,none,0.0,,,,No analogous cue span found in the provided candidates.
58,26437,framing effect,1,weak,0.4,perfect css and perfect java script,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:7,perfect chance to leave your mark,Weak alignment via 'perfect' as evaluative framing.
59,26439,framing effect,1,weak,0.4,perfect css and perfect java script support,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:7,perfect chance to leave your mark,Weak alignment via 'perfect' as evaluative cue.
60,27378,framing effect,1,weak,0.4,starting the code fresh and rewirting it,augmented_dilemmas_dataset_gpt-4.1-mini:6,that slams the code into shape,Weak alignment via code-related framing.
61,834,framing effect,0,none,0.0,,,,No analogous cue span found in the provided text.
62,1506,framing effect,0,none,0.0,,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:6,they’re really excited about,Weak alignment via 'excited' as evaluative cue.
63,3627,framing effect,0,none,0.0,,,,No analogous cue span found in this batch.
64,5278,framing effect,0,none,0.0,,,,No analogous cue span found in DevGPT text.
65,5387,framing effect,1,weak,0.4,exciting,augmented_dilemmas_dataset_gpt-4.1-mini:6,more exciting,Weak alignment via evaluative adjective 'exciting' in both.
66,20496,framing effect,0,none,0.0,,,,No analogous cue span found in the provided candidates.
67,3185,framing effect,0,none,0.0,,,,No analogous cue span found in the provided candidates.
68,5392,framing effect,1,weak,0.4,more exciting css,augmented_dilemmas_dataset_gpt-4.1-mini:6,more exciting work,Weak alignment via similar evaluative phrasing.
69,5425,framing effect,0,none,0.0,,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:5,circle back and add encryption later,Weak alignment on delaying action for future adjustments.
70,35372,framing effect,0,none,0.0,,,,No analogous cue span found in DevGPT text.
71,35151,hindsight bias,0,none,0.0,,,,No analogous cue span found in the probe candidates.
72,3998,hindsight bias,0,none,0.0,,augmented_dilemmas_dataset_gpt-4.1-mini:6,"did not trigger automatically, causing prolonged",Weak alignment due to self-correction vs outcome-known narrative.
73,27078,hindsight bias,1,weak,0.4,i should have mentioned that the reset should come before the mode set,augmented_dilemmas_dataset_gpt-4o-mini:7,which should have been,Weak alignment due to similar hindsight phrasing.
74,27473,hindsight bias,0,none,0.0,,,,No analogous cue span found in the provided probe candidates.
75,28994,hindsight bias,0,none,0.0,,augmented_dilemmas_dataset_gpt-4o-mini:3,"Unfortunately, just a week later, the API provider experienced a major outage, leading to transaction failures.",No analogous cue span for hindsight bias in DevGPT text.
76,5013,hyperbolic discounting,0,none,0.0,,augmented_dilemmas_dataset_gpt-4o-mini:6,for now,Both use 'for now' as present-focus deferral markers.
77,19544,hyperbolic discounting,0,none,0.0,,,,No analogous cue span found in the provided text.
78,20446,hyperbolic discounting,1,weak,0.4,"i do not see a way to solve this problem. Maybe, we can remove the albedo or main texture completely and just make the shader blue",augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:4,"This will take at least two weeks, and I’m not sure if it will fully resolve the issue. I think resolving the problem quickly is better to a",Both show preference for immediate action or simplification over complex long-term solutions.
79,30204,hyperbolic discounting,0,none,0.0,,,,No analogous cue span found in the provided candidates.
80,32290,hyperbolic discounting,0,none,0.0,,,,No analogous cue span found in DevGPT or PROBE.
81,18359,hyperbolic discounting,0,none,0.0,,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:3,I think it’s better to avoid disruption for now.,Both show preference for immediate action vs deferral.
82,3523,hyperbolic discounting,1,weak,0.6,for now,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:9,for now,Weak alignment on deferral marker 'for now'.
83,22145,hyperbolic discounting,0,none,0.0,,,,No analogous cue span found in DevGPT or PROBE.
84,26467,hyperbolic discounting,0,none,0.0,,augmented_dilemmas_dataset_gpt-4.1-mini:7,for now,Shared deferral marker 'for now' suggests present-focus bias.
85,9631,overconfidence bias,1,weak,0.4,im almost sure,augmented_dilemmas_dataset_gpt-4o-mini:4,I'm confident,Weak alignment between 'almost sure' and 'confident' in overconfidence context.
86,10532,overconfidence bias,0,none,0.0,,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:6,"the current version should suffice for now, as the code is clean and self-explanatory",Confidence in code sufficiency shows overconfidence bias.
87,15728,overconfidence bias,1,weak,0.4,Encryption is not a concern because,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:3,I’ve already made good progress by relying on my previous experience with similar APIs.,"Both show overconfidence in prior experience, but phrasing differs."
88,15777,overconfidence bias,1,weak,0.4,"how hard can it be to interpret the files? I can give u the srcutre of parts of it if u need, but u should know already",augmented_dilemmas_dataset_gpt-4.1-mini:3,know the system well enough to handle issues as they come,Weak alignment on overconfidence in problem-solving ability
89,15875,overconfidence bias,0,none,0.0,,,,No overconfidence markers found in the provided text.
90,18411,overconfidence bias,1,weak,0.6,I have confidence that it's going to allow me to do whatever I want in the future.,augmented_dilemmas_dataset_gpt-4o-mini:4,I feel confident that there won't be any unforeseen issues,Confidence in future utility aligns with overconfidence bias.
91,19277,overconfidence bias,0,none,0.0,,,,No overconfidence cues found in the provided text.
92,23404,overconfidence bias,0,none,0.0,,augmented_dilemmas_dataset_gpt-4o-mini:4,I believe we can fix it later without any real impact,Weak alignment on 'believe' as overconfidence cue.
93,35007,overconfidence bias,1,strong,0.9,Im pretty sure,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:3,I’m pretty confident,Strong overconfidence cue alignment between 'Im pretty sure' and 'I’m pretty confident'.
94,35009,overconfidence bias,0,none,0.0,,augmented_dilemmas_dataset_gpt-4o-mini:5,I’m confident it will work well enough,Strong overconfidence cue alignment with 'confident' in both spans.
95,35724,overconfidence bias,0,none,0.0,,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:5,I’m confident they’ll be able to figure it out quickly,Strong overconfidence markers in both spans.
96,2171,overconfidence bias,0,none,0.0,,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:6,confident it will run smoothly,Weak alignment on confidence markers.
0,33855,anchoring bias,0,none,0.0,,augmented_dilemmas_dataset_gpt-4o-mini:7,A senior developer on my team mentioned that as long as the code,Weak alignment to anchoring on prior code versions.
1,3793,anchoring bias,1,weak,0.4,Go back to the first solution,augmented_dilemmas_dataset_gpt-4.1-mini:4,they just test on production because it always reflects real conditions,"Both reference prior baselines, but phrasing differs."
2,8541,anchoring bias,1,weak,0.4,version 4.14,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:4,in a previous project,Reference to prior version and previous project context.
3,9146,anchoring bias,1,weak,0.4,keep the 2nd code shippet as my base,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:3,do code reviews after writing unit tests because it’s seen as the standard approach,Both reference prior practices as a baseline.
4,18459,anchoring bias,0,none,0.0,,,,No analogous cue span found in the probe.
5,23952,anchoring bias,1,weak,0.4,The previous version was fine,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:3,"I remember that in a previous project, the team didn’t use a staging environment",Weak alignment on reference to previous version/project.
6,35474,availability bias,0,none,0.0,,,,No analogous cue span found in the provided candidates.
7,11707,availability bias,0,none,0.0,,,,No analogous cue span found in the provided candidates.
8,26208,availability bias,0,none,0.0,,,,No analogous cue span found in the provided candidates.
9,27461,availability bias,1,weak,0.4,I see them in an example in the docs.,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:7,I remember reading somewhere that ...,Weak alignment due to vague source recall in both.
10,33587,availability bias,0,none,0.0,,,,No analogous cue span found in the probe.
11,1325,bandwagon effect,0,none,0.0,,,,No analogous cue span found in candidates.
12,10641,bandwagon effect,1,weak,0.4,the elite developers add images to their projects in android,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:5,Many other teams in the organization have chosen Option B because it’s quicker and doesn’t require extra resources.,Weak alignment via implied consensus in 'elite developers' and 'other teams have chosen'.
13,27454,bandwagon effect,1,weak,0.6,it looks like linregress is popular,augmented_dilemmas_dataset_gpt-4.1-mini:3,most of them prefer the simpler implicit flow because it’s faster to implement,"Both mention popularity/preference, but cues differ in form and context."
14,4038,bandwagon effect,0,none,0.0,,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:3,it’s become a common practice,Weak alignment on 'common practice' as popularity cue.
15,7427,bandwagon effect,0,none,0.0,,augmented_dilemmas_dataset_gpt-4o-mini:6,It appears to be the trend lately to rely on these popular products,"Both mention popularity/trend, but phrasing differs."
16,1403,confirmation bias,0,none,0.0,,,,No confirmation-seeking cue in DevGPT text.
17,3107,confirmation bias,0,none,0.0,,,,No confirmation-seeking cue in DevGPT text.
18,7348,confirmation bias,0,none,0.0,,,,No confirmation-seeking cue in DevGPT text.
19,10565,confirmation bias,1,weak,0.4,Can you double check?,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:3,"From what I recall, most applications I’ve worked with in the past simply check the file extensions, and that has generally worked fine.","Both show confirmation-seeking, but surface form differs."
20,16010,confirmation bias,1,weak,0.4,Ok?,augmented_dilemmas_dataset_gpt-4.1-mini:7,usually easier to manage and debug,DevGPT uses 'Ok?' as a confirmation-seeking cue.
21,21864,confirmation bias,1,weak,0.4,Shouldn't we check for that above the loop and then short circuit the loop if we the value of find is found just once?,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:3,I’ve found that keeping things simple often works best for our use case.,"Both show preference for simplification, but not identical in structure."
22,22731,confirmation bias,0,none,0.0,,,,No analogous confirmation-seeking cue found in DevGPT text.
23,24383,confirmation bias,0,none,0.0,Am I right?,,,No analogous cue span found in the candidate.
24,30268,confirmation bias,1,weak,0.4,What do you think? Or is this not a good way? Is it easy to write it for that?,augmented_dilemmas_dataset_gpt-4o-mini:6,"In my experience, many developers have relied on the belief that good code should be self-explanatory.","Both show confirmation-seeking, but surface forms differ."
25,32856,confirmation bias,1,weak,0.4,Do you agree? Explain your reasoning.,augmented_dilemmas_dataset_gpt-4o-mini:5,it seems like a reliable choice,"Both show confirmation-seeking, but surface forms differ."
26,35383,confirmation bias,1,weak,0.4,I think pg does use ~/.pgpass because it works when I run it locally.,augmented_dilemmas_dataset_gpt-4.1-mini:3,"Based on what I’ve always done, running the entire test suite on every push ... seems safest and can’t really go…","Both show reliance on prior experience, but surface forms differ."
27,35496,confirmation bias,1,weak,0.4,I guess it's better than no parallelization regardless of how big the array is right?,augmented_dilemmas_dataset_gpt-4o-mini:6,"To me, it seems like it's often better to just push new features and explain what users need to do (Option B). Many companies do that, and i…",Both show confirmation-seeking through tentative language and appeals to common practice.
28,2311,confirmation bias,1,weak,0.4,unless I'm missing something,augmented_dilemmas_dataset_gpt-4.1-mini:4,is usually enough to keep things safe and easier to manage,Weak alignment via confirmation-seeking phrasing.
29,7465,confirmation bias,1,weak,0.4,right,augmented_dilemmas_dataset_gpt-4.1-mini:5,often works we…,Weak alignment via 'right' as confirmation-seeking cue.
30,8487,confirmation bias,0,none,0.0,,,,No confirmation-seeking cue in DevGPT text.
