bias,strategy,baseline,alternative,n_strategy,n_baseline,median_strategy,median_baseline,delta_median,p_raw,p_fdr_row,r_rb
all biases,ProbeAX,Ø,two-sided,48,48,7.615685166878501,12.945205479452055,-5.329520312573553,0.0004417435249480824,0.0016197262581429687,0.41666666666666663
all biases,CoT,Ø,two-sided,48,48,16.061643835616437,12.945205479452055,3.116438356164382,0.1871615691704046,0.20587772608744506,-0.15668402777777768
all biases,IMP,Ø,two-sided,48,48,13.276373393588475,12.945205479452055,0.33116791413642055,0.9590908888567649,0.959090888856765,0.00651041666666663
all biases,IsD,Ø,two-sided,48,48,10.24319997746627,12.945205479452055,-2.7020055019857843,0.08179387824227823,0.09997029562945117,0.2065972222222222
all biases,BW,Ø,two-sided,48,48,10.342465753424658,12.945205479452055,-2.602739726027396,0.05304513483317492,0.07293706039561551,0.22960069444444442
all biases,BW+IsD,Ø,two-sided,48,48,8.258967998947705,12.945205479452055,-4.686237480504349,0.00833920846297034,0.015288548848778956,0.3129340277777778
all biases,2sAX,Ø,two-sided,48,48,9.081637446680572,12.945205479452055,-3.8635680327714823,0.022670218520779228,0.035624629104081644,0.2703993055555556
all biases,2sAX+BW,Ø,two-sided,48,48,7.465753424657534,12.945205479452055,-5.47945205479452,0.0012153741934547695,0.002673823225600493,0.3836805555555556
all biases,sAX,Ø,two-sided,48,48,7.226027397260275,12.945205479452055,-5.71917808219178,0.000664583320495995,0.0018276041313639863,0.40364583333333337
all biases,sAX+BW,Ø,two-sided,48,48,6.335616438356165,12.945205479452055,-6.60958904109589,2.9552104230415857e-05,0.00016253657326728723,0.4952256944444444
all biases,sAX+BW+IsD,Ø,two-sided,48,48,6.311843901520501,12.945205479452055,-6.633361577931554,2.1355391983968116e-05,0.00016253657326728723,0.50390625
all biases,Ø,,two-sided,48,0,12.945205479452055,,,,,0.0
anchoring bias,ProbeAX,Ø,two-sided,6,6,5.650684931506849,5.650684931506849,0.0,1.0,1.0,0.0
anchoring bias,CoT,Ø,two-sided,6,6,6.506849315068493,5.650684931506849,0.8561643835616444,0.33582209832134224,0.6156738469224607,-0.36111111111111116
anchoring bias,IMP,Ø,two-sided,6,6,6.027397260273973,5.650684931506849,0.3767123287671241,0.8725590308923818,0.95981493398162,0.08333333333333337
anchoring bias,IsD,Ø,two-sided,6,6,5.205479452054794,5.650684931506849,-0.4452054794520546,0.4696126238502669,0.6666666666666667,0.2777777777777778
anchoring bias,BW,Ø,two-sided,6,6,5.5479452054794525,5.650684931506849,-0.10273972602739612,0.6991341991341992,0.8544973544973545,0.16666666666666663
anchoring bias,BW+IsD,Ø,two-sided,6,6,5.102739726027397,5.650684931506849,-0.5479452054794516,0.30952380952380953,0.6156738469224607,0.38888888888888884
anchoring bias,2sAX,Ø,two-sided,6,6,4.965753424657534,5.650684931506849,-0.6849315068493143,0.17965367965367965,0.494047619047619,0.5
anchoring bias,2sAX+BW,Ø,two-sided,6,6,5.273972602739726,5.650684931506849,-0.37671232876712235,0.48484848484848486,0.6666666666666667,0.2777777777777778
anchoring bias,sAX,Ø,two-sided,6,6,3.732876712328767,5.650684931506849,-1.9178082191780814,0.025974025974025976,0.09523809523809525,0.7777777777777778
anchoring bias,sAX+BW,Ø,two-sided,6,6,3.4589041095890414,5.650684931506849,-2.191780821917807,0.008658008658008658,0.08333333333333334,0.8888888888888888
anchoring bias,sAX+BW+IsD,Ø,two-sided,6,6,3.4589041095890414,5.650684931506849,-2.191780821917807,0.015151515151515152,0.08333333333333334,0.8333333333333334
anchoring bias,Ø,,two-sided,6,0,5.650684931506849,,,,,0.0
availability bias,ProbeAX,Ø,two-sided,6,6,6.406316016787629,8.493150684931507,-2.0868346681438776,0.025974025974025976,0.07142857142857144,0.7777777777777778
availability bias,CoT,Ø,two-sided,6,6,10.586111710967355,8.493150684931507,2.092961026035848,0.24025974025974026,0.44047619047619047,-0.4444444444444444
availability bias,IMP,Ø,two-sided,6,6,9.97972336192371,8.493150684931507,1.4865726769922034,0.6991341991341992,0.7483485688437471,-0.16666666666666674
availability bias,IsD,Ø,two-sided,6,6,7.739726027397261,8.493150684931507,-0.7534246575342465,0.3776423913808655,0.5925925925925927,0.33333333333333337
availability bias,BW,Ø,two-sided,6,6,8.013698630136986,8.493150684931507,-0.47945205479452113,0.748348568843747,0.7483485688437471,0.13888888888888884
availability bias,BW+IsD,Ø,two-sided,6,6,7.887343820562998,8.493150684931507,-0.6058068643685086,0.48484848484848486,0.5925925925925927,0.2777777777777778
availability bias,2sAX,Ø,two-sided,6,6,7.848760734351805,8.493150684931507,-0.6443899505797024,0.48484848484848486,0.5925925925925927,0.2777777777777778
availability bias,2sAX+BW,Ø,two-sided,6,6,6.648439408459703,8.493150684931507,-1.8447112764718039,0.17965367965367965,0.3952380952380952,0.5
availability bias,sAX,Ø,two-sided,6,6,5.789666406902832,8.493150684931507,-2.703484278028675,0.01027183773070576,0.03766340501258779,0.9166666666666666
availability bias,sAX+BW,Ø,two-sided,6,6,6.061643835616438,8.493150684931507,-2.4315068493150687,0.008658008658008658,0.03766340501258779,0.8888888888888888
availability bias,sAX+BW+IsD,Ø,two-sided,6,6,5.8561643835616435,8.493150684931507,-2.6369863013698636,0.004329004329004329,0.03766340501258779,0.9444444444444444
availability bias,Ø,,two-sided,6,0,8.493150684931507,,,,,0.0
bandwagon effect,ProbeAX,Ø,two-sided,6,6,7.294520547945206,11.678082191780822,-4.383561643835616,0.015151515151515152,0.03333333333333334,0.8333333333333334
bandwagon effect,CoT,Ø,two-sided,6,6,14.417808219178081,11.678082191780822,2.739726027397259,0.1086945807965248,0.13284893208464144,-0.5833333333333333
bandwagon effect,IMP,Ø,two-sided,6,6,13.057810474096623,11.678082191780822,1.379728282315801,0.8181818181818182,0.8181818181818182,-0.11111111111111116
bandwagon effect,IsD,Ø,two-sided,6,6,8.972602739726028,11.678082191780822,-2.705479452054794,0.17965367965367965,0.1976190476190476,0.5
bandwagon effect,BW,Ø,two-sided,6,6,7.636986301369863,11.678082191780822,-4.0410958904109595,0.09307359307359307,0.12797619047619047,0.6111111111111112
bandwagon effect,BW+IsD,Ø,two-sided,6,6,6.5410958904109595,11.678082191780822,-5.136986301369863,0.06493506493506493,0.11904761904761903,0.6666666666666667
bandwagon effect,2sAX,Ø,two-sided,6,6,8.732876712328768,11.678082191780822,-2.9452054794520546,0.09307359307359307,0.12797619047619047,0.6111111111111112
bandwagon effect,2sAX+BW,Ø,two-sided,6,6,7.02054794520548,11.678082191780822,-4.657534246575342,0.004329004329004329,0.015873015873015872,0.9444444444444444
bandwagon effect,sAX,Ø,two-sided,6,6,6.7465753424657535,11.678082191780822,-4.931506849315069,0.015151515151515152,0.03333333333333334,0.8333333333333334
bandwagon effect,sAX+BW,Ø,two-sided,6,6,5.7534246575342465,11.678082191780822,-5.924657534246576,0.0021645021645021645,0.011904761904761904,1.0
bandwagon effect,sAX+BW+IsD,Ø,two-sided,6,6,5.650684931506849,11.678082191780822,-6.027397260273974,0.0021645021645021645,0.011904761904761904,1.0
bandwagon effect,Ø,,two-sided,6,0,11.678082191780822,,,,,0.0
confirmation bias,ProbeAX,Ø,two-sided,6,6,8.595890410958905,13.253424657534246,-4.6575342465753415,0.025974025974025976,0.07142857142857144,0.7777777777777778
confirmation bias,CoT,Ø,two-sided,6,6,16.404109589041095,13.253424657534246,3.1506849315068486,0.24025974025974026,0.2642857142857143,-0.4444444444444444
confirmation bias,IMP,Ø,two-sided,6,6,14.308086181673094,13.253424657534246,1.0546615241388473,0.8181818181818182,0.8181818181818182,-0.11111111111111116
confirmation bias,IsD,Ø,two-sided,6,6,8.756139871215908,13.253424657534246,-4.497284786318339,0.13203463203463203,0.18154761904761904,0.5555555555555556
confirmation bias,BW,Ø,two-sided,6,6,9.295781273521,13.253424657534246,-3.957643384013247,0.24025974025974026,0.2642857142857143,0.4444444444444444
confirmation bias,BW+IsD,Ø,two-sided,6,6,7.779515944153184,13.253424657534246,-5.473908713381062,0.025974025974025976,0.07142857142857144,0.7777777777777778
confirmation bias,2sAX,Ø,two-sided,6,6,9.452999527633445,13.253424657534246,-3.800425129900802,0.06493506493506493,0.1020408163265306,0.6666666666666667
confirmation bias,2sAX+BW,Ø,two-sided,6,6,7.928023348867862,13.253424657534246,-5.325401308666384,0.06493506493506493,0.1020408163265306,0.6666666666666667
confirmation bias,sAX,Ø,two-sided,6,6,8.253424657534246,13.253424657534246,-5.0,0.06493506493506493,0.1020408163265306,0.6666666666666667
confirmation bias,sAX+BW,Ø,two-sided,6,6,6.035365406492982,13.253424657534246,-7.2180592510412644,0.0021645021645021645,0.011904761904761904,1.0
confirmation bias,sAX+BW+IsD,Ø,two-sided,6,6,6.164383561643836,13.253424657534246,-7.08904109589041,0.0021645021645021645,0.011904761904761904,1.0
confirmation bias,Ø,,two-sided,6,0,13.253424657534246,,,,,0.0
framing effect,ProbeAX,Ø,two-sided,6,6,19.657534246575345,25.05148730668771,-5.393953060112366,0.17965367965367965,0.37755102040816324,0.5
framing effect,CoT,Ø,two-sided,6,6,23.84416047771508,25.05148730668771,-1.2073268289726329,0.9372294372294373,0.9372294372294373,-0.05555555555555558
framing effect,IMP,Ø,two-sided,6,6,27.089041095890412,25.05148730668771,2.0375537892027005,0.9372294372294373,0.9372294372294373,-0.05555555555555558
framing effect,IsD,Ø,two-sided,6,6,23.055785065770323,25.05148730668771,-1.9957022409173888,0.30952380952380953,0.42559523809523814,0.38888888888888884
framing effect,BW,Ø,two-sided,6,6,22.226027397260275,25.05148730668771,-2.825459909427437,0.3939393939393939,0.48148148148148145,0.33333333333333337
framing effect,BW+IsD,Ø,two-sided,6,6,21.198630136986303,25.05148730668771,-3.8528571697014087,0.24025974025974026,0.37755102040816324,0.4444444444444444
framing effect,2sAX,Ø,two-sided,6,6,18.974256022673593,25.05148730668771,-6.077231284014118,0.24025974025974026,0.37755102040816324,0.4444444444444444
framing effect,2sAX+BW,Ø,two-sided,6,6,18.184931506849317,25.05148730668771,-6.866555799838395,0.04112554112554113,0.1130952380952381,0.7222222222222222
framing effect,sAX,Ø,two-sided,6,6,15.616438356164384,25.05148730668771,-9.435048950523328,0.008658008658008658,0.031746031746031744,0.8888888888888888
framing effect,sAX+BW,Ø,two-sided,6,6,14.970776568676238,25.05148730668771,-10.080710738011474,0.008658008658008658,0.031746031746031744,0.8888888888888888
framing effect,sAX+BW+IsD,Ø,two-sided,6,6,15.168076727402914,25.05148730668771,-9.883410579284797,0.008658008658008658,0.031746031746031744,0.8888888888888888
framing effect,Ø,,two-sided,6,0,25.05148730668771,,,,,0.0
hindsight bias,ProbeAX,Ø,two-sided,6,6,19.178082191780824,26.506849315068493,-7.328767123287669,0.422527407168231,0.888888888888889,0.3055555555555556
hindsight bias,CoT,Ø,two-sided,6,6,25.71917808219178,26.506849315068493,-0.7876712328767113,0.9372294372294373,0.9372294372294373,0.05555555555555558
hindsight bias,IMP,Ø,two-sided,6,6,27.476809036025802,26.506849315068493,0.9699597209573092,0.9372294372294373,0.9372294372294373,-0.05555555555555558
hindsight bias,IsD,Ø,two-sided,6,6,23.63013698630137,26.506849315068493,-2.8767123287671232,0.9372294372294373,0.9372294372294373,0.05555555555555558
hindsight bias,BW,Ø,two-sided,6,6,25.890410958904113,26.506849315068493,-0.6164383561643803,0.9372294372294373,0.9372294372294373,0.05555555555555558
hindsight bias,BW+IsD,Ø,two-sided,6,6,21.301369863013697,26.506849315068493,-5.205479452054796,0.6991341991341992,0.9372294372294373,0.16666666666666663
hindsight bias,2sAX,Ø,two-sided,6,6,42.054794520547944,26.506849315068493,15.54794520547945,0.17965367965367965,0.8511904761904763,-0.5
hindsight bias,2sAX+BW,Ø,two-sided,6,6,40.205479452054796,26.506849315068493,13.698630136986303,0.17965367965367965,0.8511904761904763,-0.5
hindsight bias,sAX,Ø,two-sided,6,6,43.082191780821915,26.506849315068493,16.575342465753423,0.30952380952380953,0.8511904761904763,-0.38888888888888884
hindsight bias,sAX+BW,Ø,two-sided,6,6,42.08904109589041,26.506849315068493,15.582191780821915,0.24025974025974026,0.8511904761904763,-0.4444444444444444
hindsight bias,sAX+BW+IsD,Ø,two-sided,6,6,33.6986301369863,26.506849315068493,7.19178082191781,0.48484848484848486,0.888888888888889,-0.2777777777777777
hindsight bias,Ø,,two-sided,6,0,26.506849315068493,,,,,0.0
hyperbolic discounting,ProbeAX,Ø,two-sided,6,6,10.445205479452055,24.904912353178666,-14.459706873726612,0.008658008658008658,0.019047619047619046,0.8888888888888888
hyperbolic discounting,CoT,Ø,two-sided,6,6,40.68493150684931,24.904912353178666,15.780019153670644,0.17965367965367965,0.1976190476190476,-0.5
hyperbolic discounting,IMP,Ø,two-sided,6,6,28.571478869933433,24.904912353178666,3.6665665167547665,0.8181818181818182,0.8181818181818182,-0.11111111111111116
hyperbolic discounting,IsD,Ø,two-sided,6,6,17.705479452054796,24.904912353178666,-7.1994329011238705,0.17965367965367965,0.1976190476190476,0.5
hyperbolic discounting,BW,Ø,two-sided,6,6,13.527397260273972,24.904912353178666,-11.377515092904694,0.04112554112554113,0.06462585034013606,0.7222222222222222
hyperbolic discounting,BW+IsD,Ø,two-sided,6,6,12.67123287671233,24.904912353178666,-12.233679476466337,0.09307359307359307,0.12797619047619047,0.6111111111111112
hyperbolic discounting,2sAX,Ø,two-sided,6,6,10.35723694114105,24.904912353178666,-14.547675412037616,0.015151515151515152,0.02777777777777778,0.8333333333333334
hyperbolic discounting,2sAX+BW,Ø,two-sided,6,6,8.219178082191782,24.904912353178666,-16.685734270986885,0.004329004329004329,0.015873015873015872,0.9444444444444444
hyperbolic discounting,sAX,Ø,two-sided,6,6,11.047393082042557,24.904912353178666,-13.857519271136109,0.008658008658008658,0.019047619047619046,0.8888888888888888
hyperbolic discounting,sAX+BW,Ø,two-sided,6,6,7.059492267508503,24.904912353178666,-17.845420085670163,0.0021645021645021645,0.011904761904761904,1.0
hyperbolic discounting,sAX+BW+IsD,Ø,two-sided,6,6,6.694192685270675,24.904912353178666,-18.21071966790799,0.0021645021645021645,0.011904761904761904,1.0
hyperbolic discounting,Ø,,two-sided,6,0,24.904912353178666,,,,,0.0
overconfidence bias,ProbeAX,Ø,two-sided,6,6,4.520547945205479,10.856164383561644,-6.3356164383561655,0.008658008658008658,0.023662045769364624,0.8888888888888888
overconfidence bias,CoT,Ø,two-sided,6,6,13.424657534246576,10.856164383561644,2.5684931506849313,0.3939393939393939,0.4333333333333333,-0.33333333333333326
overconfidence bias,IMP,Ø,two-sided,6,6,9.863013698630137,10.856164383561644,-0.993150684931507,0.48484848484848486,0.4848484848484849,0.2777777777777778
overconfidence bias,IsD,Ø,two-sided,6,6,8.595890410958905,10.856164383561644,-2.2602739726027394,0.30952380952380953,0.37830687830687837,0.38888888888888884
overconfidence bias,BW,Ø,two-sided,6,6,7.808219178082192,10.856164383561644,-3.0479452054794525,0.24025974025974026,0.33035714285714285,0.4444444444444444
overconfidence bias,BW+IsD,Ø,two-sided,6,6,7.568493150684931,10.856164383561644,-3.287671232876713,0.24025974025974026,0.33035714285714285,0.4444444444444444
overconfidence bias,2sAX,Ø,two-sided,6,6,5.41095890410959,10.856164383561644,-5.445205479452055,0.012906570419653431,0.023662045769364624,0.8888888888888888
overconfidence bias,2sAX+BW,Ø,two-sided,6,6,4.628364720151183,10.856164383561644,-6.227799663410462,0.004329004329004329,0.015873015873015872,0.9444444444444444
overconfidence bias,sAX,Ø,two-sided,6,6,4.558884365509915,10.856164383561644,-6.29728001805173,0.004329004329004329,0.015873015873015872,0.9444444444444444
overconfidence bias,sAX+BW,Ø,two-sided,6,6,3.801369863013699,10.856164383561644,-7.054794520547945,0.004329004329004329,0.015873015873015872,0.9444444444444444
overconfidence bias,sAX+BW+IsD,Ø,two-sided,6,6,3.8698630136986303,10.856164383561644,-6.986301369863014,0.012906570419653431,0.023662045769364624,0.8888888888888888
overconfidence bias,Ø,,two-sided,6,0,10.856164383561644,,,,,0.0
